Pokemon_name,Health,Attack,Defense,Speed,Type,Level,Can_evolve,Stage,Next_evolution
Electabuzz,70,81,75,70,Electric,1,False,0,None
Magmar,70,81,75,70,Fire,1,False,0,None
Pinsir,70,81,75,70,Bug,1,False,0,None
Tauros,70,81,75,70,Normal,1,False,0,None
Magikarp,70,81,75,70,Water,1,False,0,Gyarados
Gyarados,70,81,75,70,Water/Flying,1,False,0,None
Lapras,70,81,75,70,Water/Ice,1,False,0,None
Ditto,70,81,75,70,Normal,1,False,0,None
Eevee,70,81,75,70,Normal,1,False,0,Vaporeon
Vaporeon,70,81,75,70,Water,1,False,0,None
Jolteon,70,81,75,70,Electric,1,False,0,None
Flareon,70,81,75,70,Fire,1,False,0,None
Porygon,70,81,75,70,Normal,1,False,0,None
Omanyte,70,81,75,70,Rock/Water,1,False,0,Omastar
Omastar,70,81,75,70,Rock/Water,1,False,0,None
Kabuto,70,81,75,70,Rock/Water,1,False,0,Kabutops
Kabutops,70,81,75,70,Rock/Water,1,False,0,None
Aerodactyl,70,81,75,70,Rock/Flying,1,False,0,None
Snorlax,70,81,75,70,Normal,1,False,0,None
Articuno,70,81,75,70,Ice/Flying,1,False,0,None
Zapdos,70,81,75,70,Electric/Flying,1,False,0,None
Moltres,70,81,75,70,Fire/Flying,1,False,0,None
Dratini,70,81,75,70,Dragon,1,False,0,Dragonair
Dragonair,70,81,75,70,Dragon,1,False,0,Dragonite
Dragonite,70,81,75,70,Dragon/Flying,1,False,0,None
Mewtwo,70,81,75,70,Psychic,1,False,0,None
Mew,70,81,75,70,Psychic,1,False,0,None
