Pokemon_name,Health,Attack,Defense,Speed,Type,Level,Can_evolve,Stage,Next_evolution
Electabuzz,76,85,77,70,Electric,1,False,2,None
Magmar,76,85,77,70,Fire,1,False,2,None
Pinsir,76,85,77,70,Bug,1,False,2,None
Tauros,76,85,77,70,Normal,1,False,2,None
Magikarp,73,10000,76,70,Water,1,True,1,Gyarados
Gyarados,76,85,77,70,Water/Flying,1,False,2,None
Lapras,76,85,77,70,Water/Ice,1,False,2,None
Ditto,76,85,77,70,Normal,1,False,2,None
Eevee,73,83,76,70,Normal,1,True,1,Vaporeon
Vaporeon,76,85,77,70,Water,1,False,2,None
Jolteon,76,85,77,70,Electric,1,False,2,None
Flareon,76,85,77,70,Fire,1,False,2,None
Porygon,76,85,77,70,Normal,1,False,2,None
Omanyte,73,83,76,70,Rock/Water,1,True,1,Omastar
Omastar,76,85,77,70,Rock/Water,1,False,2,None
Kabuto,73,83,76,70,Rock/Water,1,True,1,Kabutops
Kabutops,76,85,77,70,Rock/Water,1,False,2,None
Aerodactyl,76,85,77,70,Rock/Flying,1,False,2,None
Snorlax,76,85,77,70,Normal,1,False,2,None
Articuno,76,85,77,70,Ice/Flying,1,False,2,None
Zapdos,76,85,77,70,Electric/Flying,1,False,2,None
Moltres,76,85,77,70,Fire/Flying,1,False,2,None
Dratini,70,81,75,70,Dragon,1,True,0,Dragonair
Dragonair,73,83,76,70,Dragon,1,True,1,Dragonite
Dragonite,76,85,77,70,Dragon/Flying,1,False,2,None
Mewtwo,76,85,77,70,Psychic,1,False,2,None
Mew,76,85,77,70,Psychic,1,False,2,None
